17:42:03.345071 IP magody-pc.52498 > 162.159.138.232.443: UDP, length 427
17:42:03.352395 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1095
17:42:03.357179 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1095
17:42:03.358559 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1100
17:42:03.360812 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1104
17:42:03.443931 IP 162.159.138.232.443 > magody-pc.52498: UDP, length 24
17:42:03.443939 IP 162.159.138.232.443 > magody-pc.52498: UDP, length 865
17:42:03.443943 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 25
17:42:03.451051 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 26
17:42:03.455364 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 26
17:42:03.456116 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 26
17:42:03.470055 IP magody-pc.52498 > 162.159.138.232.443: UDP, length 45
17:42:03.487729 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.487741 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.487796 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.487800 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.487803 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.487804 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.487806 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.487808 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.487810 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.488970 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:03.493797 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.493813 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.493875 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.493876 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.493877 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.493879 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.493880 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.493881 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.493882 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.493884 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.493891 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.493893 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.493894 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.494040 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:03.495563 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.495680 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:03.495751 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.495755 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.495757 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.495759 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.495760 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.495761 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.495763 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.495764 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.495772 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.495773 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.495774 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.495775 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.495980 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:03.497521 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:03.502554 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.502569 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.502571 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.502572 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.502574 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.502608 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.502610 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.502612 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.502613 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.502614 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.502616 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.502617 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.502618 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.502791 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:03.504444 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:03.517836 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.517863 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.517920 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.517924 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.517925 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.517927 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.517928 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:03.517929 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
