17:41:14.929969 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1093
17:41:14.933908 IP magody-pc.52498 > 162.159.138.232.443: UDP, length 1250
17:41:14.934152 IP magody-pc.52498 > 162.159.138.232.443: UDP, length 80
17:41:14.934418 IP magody-pc.52498 > 162.159.138.232.443: UDP, length 423
17:41:14.935157 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1093
17:41:14.935273 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 26
17:41:14.936744 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1098
17:41:14.938779 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1104
17:41:14.941468 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 25
17:41:14.942208 IP 162.159.138.232.443 > magody-pc.52498: UDP, length 1200
17:41:14.942224 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 25
17:41:14.942891 IP 162.159.138.232.443 > magody-pc.52498: UDP, length 1200
17:41:14.943177 IP magody-pc.52498 > 162.159.138.232.443: UDP, length 90
17:41:14.949157 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 26
17:41:14.953001 IP 162.159.138.232.443 > magody-pc.52498: UDP, length 100
17:41:14.953018 IP 162.159.138.232.443 > magody-pc.52498: UDP, length 24
17:41:14.953020 IP 162.159.138.232.443 > magody-pc.52498: UDP, length 24
17:41:14.953021 IP 162.159.138.232.443 > magody-pc.52498: UDP, length 49
17:41:14.953200 IP magody-pc.52498 > 162.159.138.232.443: UDP, length 45
17:41:14.953277 IP magody-pc.52498 > 162.159.138.232.443: UDP, length 45
17:41:14.953324 IP magody-pc.52498 > 162.159.138.232.443: UDP, length 47
17:41:14.957288 IP 162.159.138.232.443 > magody-pc.52498: UDP, length 28
17:41:14.959066 IP 162.159.138.232.443 > magody-pc.52498: UDP, length 906
17:41:14.959328 IP magody-pc.52498 > 162.159.138.232.443: UDP, length 45
17:41:14.965017 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:14.965040 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:14.965044 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:14.965046 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:14.965048 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:14.965087 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:14.965090 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:14.965091 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:14.965093 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:14.965094 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:14.965349 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:41:14.966759 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:14.966849 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:14.967089 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:14.967096 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:14.967097 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
