20:02:58.804520 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 1230
20:02:58.804521 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 1230
20:02:58.804521 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 1230
20:02:58.804522 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 469
20:02:58.804762 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 33
20:02:58.827982 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 33
20:02:58.890716 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 32
20:02:58.914073 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 33
20:02:59.008934 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 1048
20:02:59.008935 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 27
20:02:59.008935 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 258
20:02:59.009135 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 39
20:02:59.032462 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 33
20:02:59.123394 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 26
20:02:59.358375 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 251
20:02:59.449859 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 32
20:02:59.473161 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 33
20:02:59.502086 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1223
20:02:59.502119 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 871
20:02:59.535230 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 1225
20:02:59.535231 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 768
20:02:59.535231 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 26
20:02:59.535417 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 39
20:02:59.558659 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 33
20:02:59.598921 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 32
20:02:59.616607 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 26
20:02:59.622092 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 33
20:02:59.650785 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 26
20:02:59.666402 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 1185
20:02:59.666403 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 187
20:02:59.666553 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 39
20:02:59.689526 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 33
20:02:59.780123 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 26
20:02:59.944628 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 427
20:03:00.009742 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1223
20:03:00.009847 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.009898 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.009939 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.009979 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.010022 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.010061 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.010122 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.010178 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.010247 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.010307 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.019922 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.020044 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.028381 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.028464 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.037780 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.037847 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.040592 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 32
20:03:00.046258 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.046328 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.055566 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.055640 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.097034 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 77
20:03:00.097036 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 26
20:03:00.097351 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 33
20:03:00.102298 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 32
20:03:00.102587 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.106023 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 26
20:03:00.106240 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.106296 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.115545 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 1230
20:03:00.115614 IP6 magody-pc.58794 > 2800:3f0:4005:409::200e.443: UDP, length 476
20:03:00.135083 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 26
20:03:00.165556 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 26
20:03:00.217396 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 26
20:03:00.277227 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 416
20:03:00.277229 IP6 2800:3f0:4005:409::200e.443 > magody-pc.58794: UDP, length 31
