17:40:40.617609 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1250
17:40:40.617873 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 74
17:40:40.623773 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:40.623800 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 24
17:40:40.623803 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 52
17:40:40.623805 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 24
17:40:40.623806 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 49
17:40:40.624285 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 90
17:40:40.624376 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:40.624466 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:40.624724 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 47
17:40:40.628245 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 73
17:40:40.628262 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 28
17:40:40.628419 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.016123 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1092
17:40:43.021055 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1092
17:40:43.022371 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1097
17:40:43.024655 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1102
17:40:43.046128 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 24
17:40:43.046187 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 24
17:40:43.046190 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 24
17:40:43.069497 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.069513 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.069515 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.069517 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.069518 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.069549 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.069552 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.069554 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.069556 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.069557 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.069680 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.069722 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.069749 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.069775 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.069800 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.083881 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1102
17:40:43.107997 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.108013 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.108015 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.108017 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.108019 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.108051 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.108054 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.108056 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.108057 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.108059 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.108063 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.108065 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.108067 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.108159 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.108201 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.108229 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.108256 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.108281 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.108318 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.109061 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.109074 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.109076 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.109078 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.109080 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.109171 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.109238 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.109273 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.114477 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.114492 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.114563 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.114567 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.114568 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.114570 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.114572 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.114573 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.114575 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.114576 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.114589 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.114591 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.114653 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.114716 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.114758 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.114801 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.114842 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.114882 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.116226 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.116239 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.116581 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.116589 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.116592 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.116594 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.116597 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.116598 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.116600 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.116602 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.116613 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.116615 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.116617 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.116879 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.116944 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.117027 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.117072 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.117123 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 48
17:40:43.117178 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.117486 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.117769 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.122309 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 599
17:40:43.122315 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.122317 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.122347 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.122350 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.122351 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.122353 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.122355 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.122357 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.122529 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.122581 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.122619 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.122654 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.124011 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.124023 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.124343 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.124389 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.124394 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.124396 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.124398 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.124400 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.124402 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.124403 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.124405 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.124421 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.124423 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.124424 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.124532 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.124580 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.124617 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.124654 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.124690 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.124726 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.126035 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.126048 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.126140 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.126291 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.126295 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.126297 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.126299 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.126301 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.126303 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.126305 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.126307 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.126318 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.126321 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.126322 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.126379 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.126421 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.126459 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.126496 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.126531 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.129420 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.129434 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.129510 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.129513 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.129514 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.129515 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.129516 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.129517 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.129518 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.129526 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.129534 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.129535 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.129536 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.129540 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:40:43.129708 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:40:43.130494 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.130506 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.130507 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.130508 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:40:43.130509 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 601
