17:41:42.254419 IP magody-pc.52498 > 162.159.138.232.443: UDP, length 427
17:41:42.260694 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1095
17:41:42.261722 IP 162.159.138.232.443 > magody-pc.52498: UDP, length 24
17:41:42.265631 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1095
17:41:42.266486 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 26
17:41:42.267102 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1100
17:41:42.269320 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1104
17:41:42.271076 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 25
17:41:42.272589 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 25
17:41:42.275269 IP 162.159.138.232.443 > magody-pc.52498: UDP, length 870
17:41:42.275291 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 25
17:41:42.293380 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:42.293399 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:42.293438 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:42.293441 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:42.293443 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:42.293445 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:42.293447 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:42.293448 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:42.293451 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:42.293453 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:42.294309 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:41:42.295116 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:42.295133 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:42.295135 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:42.295137 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:41:42.295138 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
