17:42:27.932151 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.932153 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.932313 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.933752 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.933854 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.934043 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.934050 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.934051 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.934053 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.934054 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.934055 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.934056 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.934058 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.934067 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.934068 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.934069 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.934071 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.934203 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.935772 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 46
17:42:27.936070 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.936084 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.936086 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.936087 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.936088 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.936089 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1142
17:42:27.936091 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.936092 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.936102 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.936103 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.936104 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.936105 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.936107 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.936287 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.937805 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.937998 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.938129 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.938137 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.938139 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.938141 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.938143 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.938145 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.938147 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.938148 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.938168 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.938170 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.938175 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.938177 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.938348 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.939782 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.939933 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.940057 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.940063 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.940065 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.940067 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.940069 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.940070 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.940072 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.940075 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.940085 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.940087 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.940088 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.940089 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
